date,m2,hy_spread,fed_balance,tga,rrp,net_liquidity,reserve_balance,stealth_signal,stealth_absorb_weeks,net_liq_decline_weeks,stealth_alert,sp500
2023-05-11,20829.6,4.81,8503017.0,197666.0,2242243.0,8.3031,,neutral,,,,4130.62
2023-05-12,20829.6,4.76,8503017.0,197666.0,2229199.0,8.3031,,supply,,,,4124.08
2023-05-13,20829.6,,8503017.0,197666.0,2229199.0,8.3031,,neutral,,,,4124.08
2023-05-14,20829.6,,8503017.0,197666.0,2229199.0,8.3031,,neutral,,,,4124.08
2023-05-15,20829.6,4.77,8503017.0,197666.0,2220927.0,8.3031,,supply,,,,4136.28
2023-05-16,20829.6,4.79,8503017.0,197666.0,2203214.0,8.3031,,supply,,,,4109.9
2023-05-17,20829.6,4.75,8456760.0,116220.0,2213676.0,8.3383,,supply,,,,4158.77
2023-05-18,20829.6,4.69,8456760.0,116220.0,2238266.0,8.3383,,neutral,,,,4198.05
2023-05-19,20829.6,4.62,8456760.0,116220.0,2276720.0,8.3383,,neutral,,,,4191.98
2023-05-20,20829.6,4.62,8456760.0,116220.0,2276720.0,8.3383,,neutral,,,,4191.98
2023-05-21,20829.6,4.62,8456760.0,116220.0,2276720.0,8.3383,,neutral,,,,4191.98
2023-05-22,20829.6,4.54,8456760.0,116220.0,2275311.0,8.3383,,supply,,,,4192.63
2023-05-23,20829.6,4.6,8456760.0,116220.0,2256689.0,8.3383,,supply,,,,4145.58
2023-05-24,20829.6,4.68,8436255.0,61952.0,2250709.0,8.3721,,supply,,,,4115.24
2023-05-25,20829.6,4.58,8436255.0,61952.0,2197638.0,8.3721,,supply,,,,4151.28
2023-05-26,20829.6,4.53,8436255.0,61952.0,2189681.0,8.3721,,supply,,,,4205.45
2023-05-27,20829.6,4.53,8436255.0,61952.0,2189681.0,8.3721,,neutral,,,,4205.45
2023-05-28,20829.6,4.53,8436255.0,61952.0,2189681.0,8.3721,,neutral,,,,4205.45
2023-05-29,20829.6,4.54,8436255.0,61952.0,2189681.0,8.3721,,neutral,,,,4205.45
2023-05-30,20829.6,4.58,8436255.0,61952.0,2200479.0,8.3721,,neutral,,,,4205.52
2023-05-31,20829.6,4.69,8385854.0,48954.0,2254859.0,8.3346,,supply,,,,4179.83
2023-06-01,20799.3,4.65,8385854.0,48954.0,2160055.0,8.3347,,supply,,,,4221.02
2023-06-02,20799.3,4.37,8385854.0,48954.0,2142102.0,8.3348,,supply,,,,4282.37
2023-06-03,20799.3,4.37,8385854.0,48954.0,2142102.0,8.3348,,neutral,,,,4282.37
2023-06-04,20799.3,4.37,8385854.0,48954.0,2142102.0,8.3348,,neutral,,,,4282.37
2023-06-05,20799.3,4.39,8385854.0,48954.0,2131417.0,8.3348,,supply,,,,4273.79
2023-06-06,20799.3,4.39,8385854.0,48954.0,2134638.0,8.3348,,neutral,,,,4283.85
2023-06-07,20799.3,4.33,8389325.0,44756.0,2161556.0,8.3424,,supply,,,,4267.52
2023-06-08,20799.3,4.39,8389325.0,44756.0,2141798.0,8.3424,,supply,,,,4293.93
2023-06-09,20799.3,4.29,8389325.0,44756.0,2127652.0,8.3424,,supply,,,,4298.86
2023-06-10,20799.3,4.29,8389325.0,44756.0,2127652.0,8.3424,,neutral,,,,4298.86
2023-06-11,20799.3,4.29,8389325.0,44756.0,2127652.0,8.3424,,neutral,,,,4298.86
2023-06-12,20799.3,4.34,8389325.0,44756.0,2126870.0,8.3424,,supply,,,,4338.93
2023-06-13,20799.3,4.18,8389325.0,44756.0,2074520.0,8.3425,,supply,,,,4369.01
2023-06-14,20799.3,4.18,8388323.0,102118.0,2109105.0,8.2841,,absorb,,,,4372.59
2023-06-15,20799.3,4.21,8388323.0,102118.0,1992140.0,8.2842,,supply,,,,4425.84
2023-06-16,20799.3,4.15,8388323.0,102118.0,2011556.0,8.2842,,neutral,,,,4409.59
2023-06-17,20799.3,4.15,8388323.0,102118.0,2011556.0,8.2842,,neutral,,,,4409.59
2023-06-18,20799.3,4.15,8388323.0,102118.0,2011556.0,8.2842,,neutral,,,,4409.59
2023-06-19,20799.3,4.15,8388323.0,102118.0,2011556.0,8.2842,,neutral,,,,4409.59
2023-06-20,20799.3,4.22,8388323.0,102118.0,1989489.0,8.2842,,supply,,,,4388.71
2023-06-21,20799.3,4.32,8362060.0,276850.0,2037102.0,8.0832,,absorb,,,,4365.69
2023-06-22,20799.3,4.3,8362060.0,276850.0,1994711.0,8.0832,,supply,,,,4381.89
2023-06-23,20799.3,4.4,8362060.0,276850.0,1969380.0,8.0832,,supply,,,,4348.33
2023-06-24,20799.3,4.4,8362060.0,276850.0,1969380.0,8.0832,,neutral,,,,4348.33
2023-06-25,20799.3,4.4,8362060.0,276850.0,1969380.0,8.0832,,neutral,,,,4348.33
2023-06-26,20799.3,4.45,8362060.0,276850.0,1961027.0,8.0832,,supply,,,,4328.82
2023-06-27,20799.3,4.3,8362060.0,276850.0,1951098.0,8.0833,,supply,,,,4378.41
2023-06-28,20799.3,4.27,8340914.0,390571.0,1945211.0,7.9484,,supply,,,,4376.86
2023-06-29,20799.3,4.14,8340914.0,390571.0,1934684.0,7.9484,,supply,,,,4396.44
2023-06-30,20799.3,4.05,8340914.0,390571.0,2034319.0,7.9483,,neutral,,,,4450.38
2023-07-01,20791.2,4.05,8340914.0,390571.0,2034319.0,7.9483,,neutral,,,,4450.38
2023-07-02,20791.2,4.05,8340914.0,390571.0,2034319.0,7.9483,,neutral,,,,4450.38
2023-07-03,20791.2,3.99,8340914.0,390571.0,1909639.0,7.9484,,supply,,,,4455.59
2023-07-04,20791.2,3.99,8340914.0,390571.0,1909639.0,7.9484,,neutral,,,,4455.59
2023-07-05,20791.2,4.01,8298312.0,415441.0,1867061.0,7.881,,supply,,,,4446.82
2023-07-06,20791.2,4.1,8298312.0,415441.0,1854256.0,7.881,,supply,,,,4411.59
2023-07-07,20791.2,4.08,8298312.0,415441.0,1822303.0,7.881,,supply,,,,4398.95
2023-07-08,20791.2,4.08,8298312.0,415441.0,1822303.0,7.881,,neutral,,,,4398.95
2023-07-09,20791.2,4.08,8298312.0,415441.0,1822303.0,7.881,,neutral,,,,4398.95
2023-07-10,20791.2,4.13,8298312.0,415441.0,1811981.0,7.8811,,supply,,,,4409.53
2023-07-11,20791.2,4.05,8298312.0,415441.0,1775796.0,7.8811,,supply,,,,4439.26
2023-07-12,20791.2,3.95,8296923.0,514337.0,1820146.0,7.7808,,absorb,,,,4472.16
2023-07-13,20791.2,3.97,8296923.0,514337.0,1767432.0,7.7808,,supply,,,,4510.04
2023-07-14,20791.2,3.9,8296923.0,514337.0,1740777.0,7.7808,,supply,,,,4505.42
2023-07-15,20791.2,3.9,8296923.0,514337.0,1740777.0,7.7808,,neutral,,,,4505.42
2023-07-16,20791.2,3.9,8296923.0,514337.0,1740777.0,7.7808,,neutral,,,,4505.42
2023-07-17,20791.2,3.97,8296923.0,514337.0,1728322.0,7.7809,,supply,,,,4522.79
2023-07-18,20791.2,3.9,8296923.0,514337.0,1716862.0,7.7809,,supply,,,,4554.98
2023-07-19,20791.2,3.89,8274552.0,531135.0,1732804.0,7.7417,,absorb,,,,4565.72
2023-07-20,20791.2,3.9,8274552.0,531135.0,1721001.0,7.7417,,supply,,,,4534.87
2023-07-21,20791.2,3.89,8274552.0,531135.0,1770752.0,7.7416,,neutral,,,,4536.34
2023-07-22,20791.2,3.89,8274552.0,531135.0,1770752.0,7.7416,,neutral,,,,4536.34
2023-07-23,20791.2,3.89,8274552.0,531135.0,1770752.0,7.7416,,neutral,,,,4536.34
2023-07-24,20791.2,3.82,8274552.0,531135.0,1770867.0,7.7416,,neutral,,,,4554.64
2023-07-25,20791.2,3.84,8274552.0,531135.0,1720716.0,7.7417,,supply,,,,4567.46
2023-07-26,20791.2,3.91,8243344.0,543597.0,1749733.0,7.698,,absorb,,,,4566.75
2023-07-27,20791.2,3.78,8243344.0,543597.0,1735783.0,7.698,,supply,,,,4537.41
2023-07-28,20791.2,3.82,8243344.0,543597.0,1730227.0,7.698,,supply,,,,4582.23
2023-07-29,20791.2,3.82,8243344.0,543597.0,1730227.0,7.698,,neutral,,,,4582.23
2023-07-30,20791.2,3.82,8243344.0,543597.0,1730227.0,7.698,,neutral,,,,4582.23
2023-07-31,20791.2,3.79,8243344.0,543597.0,1821124.0,7.6979,,neutral,,,,4588.96
2023-08-01,20777.2,3.82,8243344.0,543597.0,1739554.0,7.698,,supply,,,,4576.73
2023-08-02,20777.2,3.96,8206764.0,517459.0,1770186.0,7.6875,,supply,,,,4513.39
2023-08-03,20777.2,3.98,8206764.0,517459.0,1776774.0,7.6875,,neutral,,,,4501.89
2023-08-04,20777.2,4.01,8206764.0,517459.0,1793804.0,7.6875,,neutral,,,,4478.03
2023-08-05,20777.2,4.01,8206764.0,517459.0,1793804.0,7.6875,,neutral,,,,4478.03
2023-08-06,20777.2,4.01,8206764.0,517459.0,1793804.0,7.6875,,neutral,,,,4478.03
2023-08-07,20777.2,3.97,8206764.0,517459.0,1810583.0,7.6875,,neutral,,,,4518.44
2023-08-08,20777.2,4.0,8206764.0,517459.0,1778351.0,7.6875,,supply,,,,4499.38
2023-08-09,20777.2,3.94,8208241.0,444594.0,1796519.0,7.7619,,supply,,,,4467.71
2023-08-10,20777.2,3.83,8208241.0,444594.0,1759897.0,7.7619,,supply,,,,4468.83
2023-08-11,20777.2,3.83,8208241.0,444594.0,1773236.0,7.7619,,neutral,,,,4464.05
2023-08-12,20777.2,3.83,8208241.0,444594.0,1773236.0,7.7619,,neutral,,,,4464.05
2023-08-13,20777.2,3.83,8208241.0,444594.0,1773236.0,7.7619,,neutral,,,,4464.05
2023-08-14,20777.2,3.79,8208241.0,444594.0,1799311.0,7.7618,,neutral,,,,4489.72
2023-08-15,20777.2,3.85,8208241.0,444594.0,1743784.0,7.7619,,supply,,,,4437.86
2023-08-16,20777.2,3.81,8145727.0,435795.0,1796725.0,7.7081,,supply,,,,4404.33
2023-08-17,20777.2,3.95,8145727.0,435795.0,1794120.0,7.7081,,supply,,,,4370.36
2023-08-18,20777.2,4.02,8145727.0,435795.0,1819201.0,7.7081,,neutral,,,,4369.71
2023-08-19,20777.2,4.02,8145727.0,435795.0,1819201.0,7.7081,,neutral,,,,4369.71
2023-08-20,20777.2,4.02,8145727.0,435795.0,1819201.0,7.7081,,neutral,,,,4369.71
2023-08-21,20777.2,3.97,8145727.0,435795.0,1824788.0,7.7081,,neutral,,,,4399.77
2023-08-22,20777.2,3.93,8145727.0,435795.0,1812294.0,7.7081,,supply,,,,4387.55
2023-08-23,20777.2,3.92,8139066.0,413787.0,1816533.0,7.7235,,supply,,,,4436.01
2023-08-24,20777.2,3.91,8139066.0,413787.0,1731623.0,7.7235,,supply,,,,4376.31
2023-08-25,20777.2,3.9,8139066.0,413787.0,1687379.0,7.7236,,supply,,,,4405.71
2023-08-26,20777.2,3.9,8139066.0,413787.0,1687379.0,7.7236,,neutral,,,,4405.71
2023-08-27,20777.2,3.9,8139066.0,413787.0,1687379.0,7.7236,,neutral,,,,4405.71
2023-08-28,20777.2,3.86,8139066.0,413787.0,1708605.0,7.7236,,neutral,,,,4433.31
2023-08-29,20777.2,3.87,8139066.0,413787.0,1693278.0,7.7236,,supply,,,,4497.63
2023-08-30,20777.2,3.8,8121316.0,470800.0,1696819.0,7.6488,,absorb,,,,4514.87
2023-08-31,20777.2,3.85,8121316.0,470800.0,1651602.0,7.6489,,supply,,,,4507.66
2023-09-01,20747.8,3.81,8121316.0,470800.0,1574065.0,7.6489,,supply,,,,4515.77
2023-09-02,20747.8,3.81,8121316.0,470800.0,1574065.0,7.6489,,neutral,,,,4515.77
2023-09-03,20747.8,3.81,8121316.0,470800.0,1574065.0,7.6489,,neutral,,,,4515.77
2023-09-04,20747.8,3.81,8121316.0,470800.0,1574065.0,7.6489,,neutral,,,,4515.77
2023-09-05,20747.8,3.83,8121316.0,470800.0,1568490.0,7.6489,,supply,,,,4496.83
2023-09-06,20747.8,3.86,8101318.0,470881.0,1606244.0,7.6288,,absorb,,,,4465.48
2023-09-07,20747.8,3.9,8101318.0,470881.0,1535289.0,7.6289,,supply,,,,4451.14
